event_date,user_pseudo_id,country,sub_continent,metro,category,mobile_brand_name,operating_system_version,medium,source,TUTORIAL_STEP_TUTDRAGCUE,TUTORIAL_STEP_SHOW_FORCE_CUE,TUTORIAL_STEP_FORCE_CUE,TUTORIAL_STEP_TUTPOTTEDBALL,TUTORIAL_STEP_DONESCENETUT,TUTORIAL_STEP_JOINFIRSTGAME,TUTORIAL_STEP_GAME_TEACHBOOSTAIM,TUTORIAL_STEP_BREAKING,TUTORIAL_STEP_GAME_TEACHTARGETBALL,TUTORIAL_STEP_WINFIRSTGAME,TUTORIAL_STEP_TUTBOX,TUTORIAL_STEP_DONE,UserChurned
2023-07-13,963979929f29cb3481bedcdcd52db0bd,'United States','Northern America',Other,'tablet','Samsung','Android 13','cpc','google',0.0,11.4424881348386,0.0,1.16921715717763,2.88108622655272,0.0,0.0,7.37738636974245,38.4210008513182,0.0,0.0,0.0,True
2023-07-13,56c8e7f9bfe656e097e327bfb8c334d6,'United States','Northern America',Other,'mobile',Other,'Android 12','(none)','(direct)',23.1452365436126,0.0,0.0,0.0,3.96503801550716,0.0,0.0,6.32579401275143,0.0,135.599055083469,3.37513570953161,3.97523325309157,False
2023-07-14,c130e2cd0bccb5cc581bfa95c187f30d,'Philippines','Southeast Asia','(not set)','mobile','Realme','Android 11','organic','google-play',26.4155754800886,30.1412232592702,23.4316403558478,0.96604857314378,2.34420634526759,28.6802558228374,0.0,11.9432701598853,30.8518740190193,173.282155418769,12.1302506728098,2.73075938224792,False
2023-07-15,5907995860ba81f8d8f8062835c6ac20,'Myanmar (Burma)','Southeast Asia','(not set)','mobile','Vivo','Android 10','(none)','(direct)',14.3100934457034,39.870624948293,8.71810730360448,1.01815684325993,1.76477015204728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2023-07-27,10d90bf0218cbd7aae7d50c113f247f4,'Pakistan','Southern Asia','(not set)','mobile','OPPO','Android 12','organic','google-play',0.0,28.111396221444,15.6401763027534,1.01866100169718,0.0,21.9748210795224,0.0,7.83438245300204,0.0,385.977441527881,7.06258765926395,0.0,False
2023-07-08,7d11f226a2ec25ba212c18b3a575d72e,'Egypt','Northern Africa','(not set)','mobile','Samsung','Android 12','(none)','(direct)',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2023-07-17,7b1cbcc83806a2d8ad5b9ecadb9eefcc,Other,Other,'(not set)','mobile','Samsung','Android 12','(none)','(direct)',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2023-07-17,2b34e7b3f1548b170a68b04a3d3bf82e,'Indonesia','Southeast Asia','(not set)','mobile','Infinix','Android 10','cpc','google',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2023-07-11,fc31e107e5e61e58ef0319999620fde5,'Indonesia','Southeast Asia','(not set)','mobile','OPPO','Android 12','cpc','google',32.1451638443396,22.657292092219,19.7254172321409,0.0,3.38427484594285,0.0,0.0,12.044931134209,27.1807397734374,334.202412873507,89.3362307082862,0.0,True
2023-07-15,0b8f4cd8b63b0d4910eefc9e7078d414,'Brazil','South America','(not set)','mobile','Samsung','Android 11','organic','google-play',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
